customer_id,first_name,last_name,state
1,Debra,Burks,NY
2,Kasha,Todd,CA
3,Tameka,Fisher,CA
4,Daryl,Spence,NY
5,Charolette,Rice,CA
6,Lyndsey,Bean,NY
7,Latasha,Hays,NY
8,Jacquline,Duncan,NY
9,Genoveva,Baldwin,NY
10,Pamelia,Newman,NY
11,Deshawn,Mendoza,NY
12,Robby,Sykes,NY
13,Lashawn,Ortiz,TX
14,Garry,Espinoza,TX
15,Linnie,Branch,NY
16,Emmitt,Sanchez,NY
17,Caren,Stephens,NY
18,Georgetta,Hardin,NY
19,Lizzette,Stein,NY
20,Aleta,Shepard,TX
21,Tobie,Little,TX
22,Adelle,Larsen,NY
23,Kaylee,English,NY
24,Corene,Wall,CA
25,Regenia,Vaughan,NY
26,Theo,Reese,NY
27,Santos,Valencia,NY
28,Jeanice,Frost,NY
29,Syreeta,Hendricks,NY
30,Jamaal,Albert,CA
31,Williemae,Holloway,CA
32,Araceli,Golden,CA
33,Deloris,Burke,CA
34,Brittney,Woodward,NY
35,Guillermina,Noble,NY
36,Bernita,Mcdaniel,NY
37,Melia,Brady,NY
38,Zelma,Browning,NY
39,Janetta,Aguirre,NY
40,Ronna,Butler,CA
41,Kathie,Freeman,NY
42,Tangela,Quinn,NY
43,Mozelle,Carter,TX
44,Onita,Johns,NY
45,Bennett,Armstrong,NY
46,Monika,Berg,CA
47,Bridgette,Guerra,CA
48,Cesar,Jackson,NY
49,Caroll,Hays,NY
50,Cleotilde,Booth,TX
51,Gertrud,Rhodes,NY
52,Tu,Ramirez,NY
53,Saturnina,Garner,CA
54,Fran,Yang,NY
55,Diana,Guerra,NY
56,Lolita,Mosley,TX
57,Pamala,Henry,NY
58,Damien,Dorsey,NY
59,Latasha,Stanley,NY
60,Neil,Mccall,CA
61,Elinore,Aguilar,TX
62,Alica,Hunter,NY
63,Tenisha,Lyons,NY
64,Bobbie,Foster,TX
65,Kanesha,Vega,NY
66,Lorrie,Becker,TX
67,Tommie,Melton,CA
68,Jayne,Kirkland,TX
69,Katelin,Kennedy,CA
70,Tomasa,Carson,NY
71,Takako,Casey,NY
72,Petronila,Norris,CA
